,user_id,label,all_launch_count,last_launch,all_video_count,last_video,all_video_day,all_action_count,last_action,all_action_day,register_type,device_type,register_day,multi
0,8,1,4,13,0,0,0,96,13,4,0,34,8,6|2|5
1,73,0,3,5,0,0,0,36,5,2,1,947,1,8|4|4
2,129,1,1,12,0,0,0,1,12,1,1,43,11,7|8|6
3,228,1,1,13,0,0,0,22,13,1,2,13,12,10|1|8
4,351,0,1,3,0,0,0,176,3,1,1,2042,2,9|9|5
5,398,0,2,14,0,0,0,28,14,2,1,66,8,3|4|10
6,409,0,1,14,0,0,0,8,14,1,0,43,13,4|5|7
7,509,0,1,6,0,0,0,40,6,1,1,73,5,10|8|7
8,556,1,5,16,0,0,0,62,16,5,1,66,11,8|6|3
9,627,1,2,9,0,0,0,14,8,1,1,9,7,4|4|6
10,829,0,1,13,0,0,0,0,0,0,1,3,12,7|2|9
11,948,1,1,15,0,0,0,116,15,1,1,246,14,6|2|1
12,1108,0,1,7,0,0,0,0,0,0,2,3,6,3|9|1
13,1115,0,4,13,0,0,0,514,13,4,0,105,5,3|9|6
14,1197,1,6,11,0,0,0,499,9,5,0,13,4,4|4|8
15,1341,1,6,16,0,0,0,919,16,6,1,1609,7,6|4|5
16,1374,1,3,16,0,0,0,95,16,3,0,325,13,5|4|10
17,1432,0,1,6,0,0,0,0,0,0,0,16,5,1|7|6
18,1504,1,7,16,0,0,0,479,16,7,0,2,9,3|7|7
19,1607,1,1,10,1,10,1,8,10,1,1,74,9,6|9|6
20,1644,0,1,15,0,0,0,13,15,1,0,25,14,3|2|9
21,1657,0,1,14,0,0,0,55,14,1,0,95,13,8|6|4
22,1704,0,1,6,0,0,0,6,6,1,2,472,5,5|4|10
23,1822,1,1,16,0,0,0,69,16,1,7,612,15,10|3|5
24,1867,1,1,15,0,0,0,0,0,0,0,47,14,7|3|6
25,1893,1,1,16,0,0,0,42,16,1,0,19,15,2|1|9
26,1914,1,9,16,0,0,0,415,16,7,0,44,6,3|3|4
27,1927,1,8,16,1,7,1,63,14,5,2,251,6,8|9|6
28,1969,0,3,4,0,0,0,0,0,0,0,1496,0,2|7|3
29,1988,1,4,16,3,12,1,717,16,4,0,21,11,5|3|8
30,1995,0,1,13,0,0,0,24,13,1,0,334,12,1|1|1
31,2116,1,2,15,0,0,0,179,15,2,1,49,5,3|9|3
32,2322,0,1,9,0,0,0,0,0,0,2,7,8,10|2|10
33,2328,0,1,6,0,0,0,11,6,1,1,118,5,3|5|7
34,2332,0,1,10,0,0,0,1,10,1,1,2437,9,10|10|1
35,2387,1,2,15,1,14,1,60,15,2,0,41,13,1|6|4
36,2423,1,4,14,0,0,0,72,14,4,1,32,6,3|5|6
37,2433,1,6,16,0,0,0,873,16,5,0,2,9,10|5|5
38,2451,0,1,12,0,0,0,7,12,1,1,199,11,8|3|7
39,2456,0,1,13,0,0,0,38,13,1,1,55,12,8|8|5
40,2461,1,14,16,0,0,0,2710,16,14,1,3,2,2|10|9
41,2706,0,3,9,0,0,0,0,0,0,0,60,6,6|7|2
42,2752,1,6,9,0,0,0,87,9,4,1,20,0,1|3|10
43,2799,1,1,14,0,0,0,1,14,1,0,799,13,7|3|4
44,2874,1,5,16,4,12,1,731,16,5,0,2,11,5|1|3
45,2993,1,11,16,10,16,8,1513,16,10,2,856,5,5|6|1
46,2997,1,1,16,0,0,0,34,16,1,1,13,15,3|7|10
47,3012,0,1,12,0,0,0,0,0,0,0,14,11,9|3|7
48,3214,1,9,16,9,16,7,1544,16,9,0,137,7,5|6|6
49,3391,0,1,3,0,0,0,1,3,1,0,0,2,6|10|6
50,3409,0,1,5,0,0,0,495,5,1,0,66,4,10|8|6
51,3446,1,1,16,0,0,0,26,16,1,1,10,15,5|10|1
52,3500,0,1,4,0,0,0,0,0,0,1,24,3,4|6|9
53,3565,0,1,4,0,0,0,49,4,1,0,93,3,5|3|3
54,3579,1,1,14,0,0,0,67,14,1,1,140,13,4|5|1
55,3598,1,1,13,2,13,1,34,13,1,0,8,12,4|3|3
56,3678,1,14,15,7,13,4,775,15,14,0,34,1,8|1|1
57,3780,0,1,14,0,0,0,42,14,1,0,0,13,7|2|8
58,3812,1,6,16,0,0,0,773,16,6,0,59,10,6|6|5
59,3814,1,2,14,0,0,0,91,14,2,1,3345,11,1|7|8
60,3856,1,8,16,0,0,0,35,4,3,0,78,0,5|2|8
61,3909,0,3,14,0,0,0,22,14,3,6,718,11,9|7|2
62,3916,0,5,14,0,0,0,366,14,5,0,417,7,4|2|2
63,3966,0,3,11,3,11,2,10,11,3,0,213,8,9|10|9
64,3970,0,1,15,0,0,0,0,0,0,1,2,14,10|8|5
65,3971,0,2,10,0,0,0,240,10,2,0,492,8,7|3|3
66,4014,0,3,8,0,0,0,139,8,3,6,1013,3,2|2|5
67,4165,1,9,16,0,0,0,1470,16,9,2,159,1,4|3|7
68,4183,0,1,16,0,0,0,1,16,1,2,1586,15,8|2|8
69,4295,1,6,16,0,0,0,597,16,6,0,7,10,6|6|2
70,4458,1,1,14,0,0,0,22,14,1,0,463,13,7|5|8
71,4529,0,3,12,0,0,0,28,12,3,1,6,5,10|7|10
72,4549,1,1,16,0,0,0,3,16,1,0,6,15,9|3|4
73,4662,0,3,9,0,0,0,200,7,2,2,216,5,5|4|4
74,4707,1,2,13,0,0,0,48,13,2,1,20,10,8|7|7
75,4733,0,3,6,0,0,0,41,6,2,2,51,2,4|6|10
76,5026,0,1,6,0,0,0,23,6,1,2,369,5,8|4|2
77,5100,0,1,14,0,0,0,2,14,1,1,16,13,4|2|9
78,5117,0,1,2,0,0,0,143,2,1,4,3,1,9|7|8
79,5161,1,1,16,0,0,0,37,16,1,0,97,15,10|10|7
80,5173,1,1,9,0,0,0,20,9,1,0,0,8,5|6|10
81,5257,0,1,7,0,0,0,0,0,0,1,95,6,10|10|8
82,5292,1,5,16,0,0,0,142,16,5,2,35,11,6|7|10
83,5390,0,4,11,0,0,0,11,10,3,1,68,7,1|3|6
84,5428,0,2,12,0,0,0,17,10,1,0,23,9,2|3|5
85,5494,0,2,11,0,0,0,199,11,3,0,124,7,7|8|4
86,5519,1,1,16,0,0,0,3,16,1,2,8,15,10|6|4
87,5574,0,6,15,0,0,0,48,15,5,0,26,9,7|8|5
88,5648,1,1,16,0,0,0,26,16,1,0,104,15,1|7|7
89,5763,1,5,16,0,0,0,270,16,5,0,5,11,7|1|10
90,6006,1,4,14,0,0,0,9,14,2,1,40,8,4|5|3
91,6107,0,2,4,0,0,0,75,4,2,0,2,2,2|5|7
92,6213,0,1,16,0,0,0,26,16,1,0,29,15,7|4|6
93,6416,0,1,16,0,0,0,0,0,0,1,72,15,2|6|5
94,6478,1,10,16,0,0,0,2682,16,10,4,8,6,8|2|4
95,6591,0,2,5,1,5,1,116,5,1,2,10,1,10|4|7
96,6616,1,2,15,0,0,0,1,15,1,0,2548,9,6|2|1
97,6694,1,7,16,0,0,0,199,16,7,2,8,6,5|10|3
98,6784,0,3,16,2,14,1,32,16,3,1,35,13,7|2|7
99,6912,0,1,14,0,0,0,45,14,1,1,129,13,3|2|10
100,7267,0,2,7,0,0,0,157,7,2,1,73,5,6|8|5
101,7281,0,1,3,0,0,0,2,3,1,0,298,2,3|1|1
102,7289,1,5,16,1,2,1,290,16,5,2,133,1,3|3|6
103,7309,1,1,16,0,0,0,20,16,1,1,19,15,4|10|7
104,7313,1,2,14,0,0,0,12,14,2,2,11,12,4|7|1
105,7333,1,1,12,0,0,0,7,12,1,2,256,11,3|6|6
106,7377,1,2,13,0,0,0,28,13,2,0,16,7,4|10|3
107,7384,0,2,2,0,0,0,47,2,2,0,403,0,2|4|1
108,7421,0,1,7,0,0,0,0,0,0,5,1585,6,2|4|5
109,7441,1,3,16,0,0,0,976,16,3,1,290,13,7|9|2
110,7505,1,2,15,0,0,0,87,15,2,0,7,13,8|2|1
111,7593,0,3,15,0,0,0,107,3,2,1,44,1,3|3|2
112,7746,1,4,16,0,0,0,319,16,4,4,208,11,1|10|7
113,7839,0,1,13,0,0,0,69,13,1,0,4,12,4|3|8
114,7845,0,3,6,0,0,0,132,5,2,2,15,3,1|2|9
115,7936,1,10,16,0,0,0,978,16,10,1,34,6,4|4|1
116,7985,0,6,16,0,0,0,199,16,6,1,1832,6,1|5|5
117,8162,1,6,16,0,0,0,211,16,2,0,107,5,5|1|8
118,8234,1,10,16,0,0,0,751,16,10,1,74,2,3|9|8
119,8247,1,5,16,0,0,0,589,16,5,1,18,1,2|9|3
120,8392,0,1,2,0,0,0,1,2,1,4,157,1,8|3|5
121,8412,0,2,3,0,0,0,15,3,2,0,15,1,6|9|4
122,8488,0,1,1,0,0,0,0,0,0,0,260,0,7|4|2
123,8540,0,1,5,0,0,0,0,0,0,1,53,4,2|3|1
124,8550,1,9,16,0,0,0,376,16,10,0,1422,6,5|2|5
125,8586,0,1,7,0,0,0,12,7,1,1,30,6,10|7|10
126,8770,0,1,13,0,0,0,3,13,1,1,26,12,1|6|1
127,9014,1,1,14,0,0,0,52,14,1,1,14,13,7|2|8
128,9059,1,3,16,0,0,0,78,16,2,0,8,0,10|7|5
129,9077,1,12,16,0,0,0,485,16,12,1,425,1,6|7|10
130,9082,0,1,7,0,0,0,13,7,1,1,16,6,10|7|3
131,9105,1,7,15,0,0,0,172,15,6,2,15,8,10|2|6
132,9173,0,1,13,0,0,0,5,13,1,1,3003,12,3|3|2
133,9259,0,1,7,0,0,0,9,7,1,0,2,6,1|6|5
134,9340,0,1,10,0,0,0,0,0,0,0,72,9,10|6|3
135,9375,1,2,15,5,15,2,0,0,0,0,8,13,9|10|9
136,9400,1,1,15,0,0,0,288,15,1,0,91,14,7|6|2
137,9415,0,1,14,0,0,0,0,0,0,5,223,13,4|5|9
138,9473,1,1,13,0,0,0,6,13,1,0,16,12,4|2|10
139,9498,1,3,15,0,0,0,46,15,3,0,408,9,5|8|5
140,9513,1,10,16,0,0,0,351,16,7,0,126,1,4|3|3
141,9514,0,13,15,0,0,0,1144,15,13,0,35,0,9|6|7
142,9734,1,3,15,0,0,0,444,15,3,1,142,12,1|10|7
143,9782,0,3,6,1,4,1,58,6,3,0,3,3,2|4|2
144,9788,1,9,16,0,0,0,1214,16,9,2,2743,7,5|10|7
145,9799,0,1,12,0,0,0,90,12,1,1,50,11,3|3|3
146,9809,1,2,15,0,0,0,1,13,1,1,198,12,7|4|3
147,9816,1,13,16,0,0,0,1167,16,13,0,295,3,2|7|4
148,9924,1,2,16,0,0,0,75,16,2,0,304,14,6|9|7
149,9962,0,1,13,0,0,0,0,0,0,0,0,12,10|8|10
